ID	DOCULECT	CONCEPT	CONCEPT_ID	GLOTTOLOG	WORD_IS	SEGMENTS_IS	SEGMENTS	COG	COGID
718	Liuxiang Jiongnai	many	52	jion1236	ntay22	n t a y 22	n t a j ²²	52-2	149
719	Xiaozhai Younuo	many	52	youn1235	tʰeŋ33=au35	tʰ e ŋ 33 = au 35	tʰ e ŋ ³³ + a u ³⁵	52-4	151
720	Huangluo Younuo	many	52	youn1235	au53-au53	au 53 - au 53	a u ⁵³ + a u ⁵³	52-4	151
721	Northern Pa-Hng	many	52	pahn1237	ɕaŋ35	ɕ a ŋ 35	tɕ a ŋ ³⁵	52-3	150
722	Southern Pa-Hng	many	52	pahn1237	ɕɔ̃35	ɕ ɔ̃ 35	tɕ ɔ̃ ³⁵	52-3	150
723	Hm-Nai	many	52	wuna1248	ɕuŋ35	ɕ u ŋ 35	tɕ u ŋ ³⁵	52-3	150
724	Western Xiangxi	meat	53	nort2748	ni̯ä2	n i̯ ä 2	n j æ ²/	53-1	152
725	Eastern Xiangxi	meat	53	east2371	ŋa31	ŋ a 31	ŋ a ³¹	53-1	152
726	Qiandong	meat	53	east2369	ŋi2	ŋ i 2	ŋ i ²/	53-1	152
727	Chuanqiandian	meat	53	nort3244	nqa2	n q a 2	n q a ²/	53-1	152
728	Diandongbei	meat	53	larg1235	qay2	q a y 2	q a j ²/	53-1	152
729	Hmong Daw	meat	53	hmon1333	nqay2	n q a y 2	n q a j ²/	53-1	152
730	Hmong Njua	meat	53	hmon1264	ŋɢa5	ŋ ɢ a 5	ŋ ɢ a ⁵/	53-1	152
731	Bunu	meat	53	buna1273	ŋka2	ŋ k a 2	ŋ k a ²/	53-1	152
732	Baonao	meat	53	buna1273	ŋki̯a2	ŋ k i̯ a 2	ŋ k j a ²/	53-1	152
733	Numao	meat	53	numa1251	ŋkɑ2	ŋ k ɑ 2	ŋ k ɑ ²/	53-1	152
734	Longhua Jiongnai	meat	53	jion1236	ŋkay33	ŋ k a y 33	ŋ k a j ³³	53-1	152
735	Liuxiang Jiongnai	meat	53	jion1236	ŋkɛ31	ŋ k ɛ 31	ŋ k ɛ ³¹	53-1	152
736	Xiaozhai Younuo	meat	53	youn1235	pe33	p e 33	p e ³³	53-2	153
737	Huangluo Younuo	meat	53	youn1235	pe33	p e 33	p e ³³	53-2	153
738	Northern Pa-Hng	meat	53	pahn1237	ŋɛ33	ŋ ɛ 33	ŋ ɛ ³³	53-1	152
739	Southern Pa-Hng	meat	53	pahn1237	ɴqɦɛ33	ɴ qɦ ɛ 33	ɴ qʰ ɛ ³³	53-1	152
740	Hm-Nai	meat	53	wuna1248	ɴqai33	ɴ q a i 33	ɴ q a i ³³	53-1	152
741	Western Xiangxi	moon	54	nort2748	qe1=l̥a4	q e 1 = l̥ a 4	q e ¹/ + l̥ a ⁴/	54-1	154
742	Eastern Xiangxi	moon	54	east2371	ɭ̥ʰa31	ɭ̥ʰ a 31	ɭ̥ʰ a ³¹	54-1	154
743	Qiandong	moon	54	east2369	l̥ʰa5	l̥ʰ a 5	l̥ʰ a ⁵/	54-1	154
744	Chuanqiandian	moon	54	nort3244	ɬi5	ɬ i 5	ɬ i ⁵/	54-1	154
745	Diandongbei	moon	54	larg1235	l̥i7	l̥ i 7	l̥ i ⁷/	54-1	154
746	Hmong Daw	moon	54	hmon1333	l̥i4	l̥ i 4	l̥ i ⁴/	54-1	154
747	Hmong Njua	moon	54	hmon1264	ɬi3	ɬ i 3	ɬ i ³/	54-1	154
748	Bunu	moon	54	buna1273	po3=ɬo5	p o 3 = ɬ o 5	p o ³/ + ɬ o ⁵/	54-1	154
749	Baonao	moon	54	buna1273	vei3=lʰou5	v e i 3 = lʰ o u 5	v e i ³/ + lʰ o u ⁵/	54-1	154
750	Numao	moon	54	numa1251	l̥o5	l̥ o 5	l̥ o ⁵/	54-1	154
751	Longhua Jiongnai	moon	54	jion1236	l̥e35	l̥ e 35	l̥ e ³⁵	54-1	154
752	Liuxiang Jiongnai	moon	54	jion1236	l̥ei22	l̥ e i 22	l̥ e i ²²	54-1	154
753	Xiaozhai Younuo	moon	54	youn1235	ha31=la35	h a 31 = l a 35	h a ³¹ + l a ³⁵	54-1	154
754	Huangluo Younuo	moon	54	youn1235	kwǝn22=la53	kw ǝ n 22 = l a 53	k w ǝ n ²² + l a ⁵³	54-1	154
755	Northern Pa-Hng	moon	54	pahn1237	a33=l̥a55-qa22=ma22	a 33 = l̥ a 55 - q a 22 = m a 22	a ³³ + l̥ a ⁵⁵ + q a ²² + m a ²²	54-1	154
756	Southern Pa-Hng	moon	54	pahn1237	a44=l̥a55	a 44 = l̥ a 55	a ⁴⁴ + l̥ a ⁵⁵	54-1	154
757	Hm-Nai	moon	54	wuna1248	naŋ35=l̥a55	n a ŋ 35 = l̥ a 55	n a ŋ ³⁵ + l̥ a ⁵⁵	54-1	154
758	Western Xiangxi	mountain	55	nort2748	pi3=qɤ4	p i 3 = q ɤ 4	p i ³/ + q ɤ ⁴/	55-1	155
759	Eastern Xiangxi	mountain	55	east2371	qu53=ʑe31	q u 53 =ʑ e 31	q u ⁵³ → ʑ e ³¹	55-2	156
760	Qiandong	mountain	55	east2369	pi4	p i 4	p i ⁴/	55-3	157
761	Chuanqiandian	mountain	55	nort3244	tao2	t a o 2	t a o ²/	55-4	158
762	Diandongbei	mountain	55	larg1235	ʈao2	ʈ a o 2	ʈ a o ²/	55-4	158
763	Hmong Daw	mountain	55	hmon1333	ʈõ1	ʈ õ 1	ʈ õ ¹/	55-4	158
764	Hmong Njua	mountain	55	hmon1264	oŋ1	 o ŋ 1	o ŋ ¹/	55-4	158
765	Bunu	mountain	55	buna1273	θau2a	θ au 2 a	θ a u ²/ a	55-4	158
766	Baonao	mountain	55	buna1273	ɣey6	ɣ e y 6	ɣ e j ⁶/	55-5	159
767	Numao	mountain	55	numa1251	ɣɑn6	ɣ ɑ n 6	ɣ ɑ n ⁶/	55-5	159
768	Longhua Jiongnai	mountain	55	jion1236	ŋki̯ɔŋ53 ~ ki̯ɔŋ33	k i̯ ɔ ŋ 33	k j ɔ ŋ ³³	55-6	160
769	Liuxiang Jiongnai	mountain	55	jion1236	či43	č i 43	tʃ i ⁴³	55-7	161
770	Xiaozhai Younuo	mountain	55	youn1235	kǝ33=koŋ13	k ǝ 33 = k o ŋ 13	k ǝ ³³ + k o ŋ ¹³	55-6	160
771	Huangluo Younuo	mountain	55	youn1235	koŋ13	k o ŋ 13	k o ŋ ¹³	55-6	160
772	Northern Pa-Hng	mountain	55	pahn1237	tei33=kɛ55	t e i 33 = k ɛ 55	t e i ³³ + k ɛ ⁵⁵	55-1	155
773	Southern Pa-Hng	mountain	55	pahn1237	a44=yɔ̃31	a 44 = y ɔ̃ 31	a ⁴⁴ + j ɔ̃ ³¹	55-8	162
