ID	DOCULECT	CONCEPT	CONCEPT_ID	GLOTTOLOG	WORD_IS	SEGMENTS_IS	SEGMENTS	COG	COGID
883	Baonao	person	64	buna1273	nou2	n o u 2	n o u ²/	64-1	182
884	Numao	person	64	numa1251	nu2	n u 2	n u ²/	64-1	182
885	Longhua Jiongnai	person	64	jion1236	nay33	n a y 33	n a j ³³	64-1	182
886	Liuxiang Jiongnai	person	64	jion1236	nɛ31	n ɛ 31	n ɛ ³¹	64-1	182
887	Xiaozhai Younuo	person	64	youn1235	nɔ13	n ɔ 13	n ɔ ¹³	64-1	182
888	Huangluo Younuo	person	64	youn1235	nɔ13	n ɔ 13	n ɔ ¹³	64-1	182
889	Northern Pa-Hng	person	64	pahn1237	ni̯ɛ33	n i̯ ɛ 33	n j ɛ ³³	64-1	182
890	Southern Pa-Hng	person	64	pahn1237	a44=mɦi̯ɛ33	a 44 = mɦ i̯ ɛ 33	a ⁴⁴ + mʱ j ɛ ³³	64-1	182
891	Hm-Nai	person	64	wuna1248	nai33	n a i 33	n a i ³³	64-1	182
892	Western Xiangxi	rain	65	nort2748	noŋ6	n o ŋ 6	n o ŋ ⁶/	65-1	183
893	Eastern Xiangxi	rain	65	east2371	naŋ35	n a ŋ 35	n a ŋ ³⁵	65-1	183
894	Qiandong	rain	65	east2369	noŋ6	n o ŋ 6	n o ŋ ⁶/	65-1	183
895	Chuanqiandian	rain	65	nort3244	naŋ6	n a ŋ 6	n a ŋ ⁶/	65-1	183
896	Diandongbei	rain	65	larg1235	naɯ6	n a ɯ 6	n a ɯ ⁶/	65-1	183
897	Hmong Daw	rain	65	hmon1333	na6	n a 6	n a ⁶/	65-1	183
898	Hmong Njua	rain	65	hmon1264	naŋ6	n a ŋ 6	n a ŋ ⁶/	65-1	183
899	Bunu	rain	65	buna1273	aŋ1=nɔŋ6	a ŋ 1 = n ɔ ŋ 6	a ŋ ¹/ + n ɔ ŋ ⁶/	65-1	183
900	Baonao	rain	65	buna1273	nɒ6	n ɒ 6	n ɒ ⁶/	65-1	183
901	Numao	rain	65	numa1251	noŋ6	n o ŋ 6	n o ŋ ⁶/	65-1	183
902	Longhua Jiongnai	rain	65	jion1236	naŋ22	n a ŋ 22	n a ŋ ²²	65-1	183
903	Liuxiang Jiongnai	rain	65	jion1236	naŋ21	n a ŋ 21	n a ŋ ²¹	65-1	183
904	Xiaozhai Younuo	rain	65	youn1235	lǝŋ33=ŋa31	l ǝ ŋ 33 = ŋ a 31	l ǝ ŋ ³³ + ŋ a ³¹	65-1	183
905	Huangluo Younuo	rain	65	youn1235	lǝ33=ŋa22	l ǝ 33 = ŋ a 22	l ǝ ³³ + ŋ a ²²	65-1	183
906	Northern Pa-Hng	rain	65	pahn1237	aŋ35=moŋ44	a ŋ 35 = m o ŋ 44	a ŋ ³⁵ + m o ŋ ⁴⁴	65-1	183
907	Southern Pa-Hng	rain	65	pahn1237	ɔ̃35=mõ44	ɔ̃ 35 = m õ 44	ɔ̃ ³⁵ + m õ ⁴⁴	65-1	183
908	Hm-Nai	rain	65	wuna1248	nuŋ31	n u ŋ 31	n u ŋ ³¹	65-1	183
909	Western Xiangxi	red	66	nort2748	ɲɕʰin5	ɲɕʰ i n 5	ɲ tɕʰ i n ⁵/	66-1	184
910	Eastern Xiangxi	red	66	east2371	cʰe31	cʰ e 31	tsʰ e ³¹	66-1	184
911	Qiandong	red	66	east2369	ʃo7	ʃ o 7	ɕ o ⁷/	66-2	185
912	Chuanqiandian	red	66	nort3244	la1	l a 1	l a ¹/	66-3	186
913	Diandongbei	red	66	larg1235	lie1	l i e 1	l i e ¹/	66-3	186
914	Hmong Daw	red	66	hmon1333	li̯a1	l i̯ a 1	l j a ¹/	66-3	186
915	Hmong Njua	red	66	hmon1264	la1	l a 1	l a ¹/	66-3	186
916	Bunu	red	66	buna1273	lǝŋ1	l ǝ ŋ 1	l ǝ ŋ ¹/	66-3	186
917	Baonao	red	66	buna1273	lɒ1	l ɒ 1	l ɒ ¹/	66-3	186
918	Numao	red	66	numa1251	lɑn1	l ɑ n 1	l ɑ n ¹/	66-3	186
919	Longhua Jiongnai	red	66	jion1236	θi35	θ i 35	θ i ³⁵	66-1	184
920	Liuxiang Jiongnai	red	66	jion1236	θi22	θ i 22	θ i ²²	66-1	184
921	Xiaozhai Younuo	red	66	youn1235	cʰun35	cʰ u n 35	tsʰ u n ³⁵	66-1	184
922	Huangluo Younuo	red	66	youn1235	cʰun53	cʰ u n 53	tsʰ u n ⁵³	66-1	184
923	Northern Pa-Hng	red	66	pahn1237	tai44	t a i 44	t a i ⁴⁴	66-4	187
924	Southern Pa-Hng	red	66	pahn1237	tɦɤ44	tɦ ɤ 44	tʰ ɤ ⁴⁴	66-4	187
925	Hm-Nai	red	66	wuna1248	tai31	t a i 31	t a i ³¹	66-4	187
926	Western Xiangxi	road	67	nort2748	ne3=kɯ3	n e 3 = k ɯ 3	n e ³/ + k ɯ ³/	67-1	188
927	Eastern Xiangxi	road	67	east2371	mɔ31=kʋ55	m ɔ 31 = k ʋ 55	m ɔ ³¹ + k ʋ ⁵⁵	67-1	188
928	Qiandong	road	67	east2369	ki3	k i 3	k i ³/	67-1	188
929	Chuanqiandian	road	67	nort3244	ke3	k e 3	k e ³/	67-1	188
930	Diandongbei	road	67	larg1235	ɕi3	ɕ i 3	tɕ i ³/	67-1	188
931	Hmong Daw	road	67	hmon1333	ke3	k e 3	k e ³/	67-1	188
932	Hmong Njua	road	67	hmon1264	ke2 ~ ki2	k i 2	k i ²/	67-1	188
933	Bunu	road	67	buna1273	ki̯e3	k i̯ e 3	k j e ³/	67-1	188
934	Baonao	road	67	buna1273	ɕe3	ɕ e 3	tɕ e ³/	67-1	188
935	Numao	road	67	numa1251	ki̯ey3	k i̯ e y 3	k j e j ³/	67-1	188
936	Longhua Jiongnai	road	67	jion1236	ki̯a53	k i̯ a 53	k j a ⁵³	67-1	188
937	Liuxiang Jiongnai	road	67	jion1236	ki̯a35	k i̯ a 35	k j a ³⁵	67-1	188
938	Xiaozhai Younuo	road	67	youn1235	kou22	k o u 22	k o u ²²	67-1	188
939	Huangluo Younuo	road	67	youn1235	kou22	k o u 22	k o u ²²	67-1	188
940	Northern Pa-Hng	road	67	pahn1237	qo22	q o 22	q o ²²	67-1	188
941	Southern Pa-Hng	road	67	pahn1237	qo31	q o 31	q o ³¹	67-1	188
942	Hm-Nai	road	67	wuna1248	qo13	q o 13	q o ¹³	67-1	188
943	Western Xiangxi	root	68	nort2748	pa3=ɕoŋ2	p a 3 =ɕ o ŋ 2	p a ³/ + tɕ o ŋ ²/	68-1	189
944	Eastern Xiangxi	root	68	east2371	gɯ33-gɯ33	g ɯ 33 - g ɯ 33	g ɯ ³³ + g ɯ ³³	68-2	190
945	Qiandong	root	68	east2369	ɕoŋ2	ɕ o ŋ 2	tɕ o ŋ ²/	68-1	189
946	Chuanqiandian	root	68	nort3244	ɕaŋ2	ɕ a ŋ 2	tɕ a ŋ ²/	68-1	189
947	Diandongbei	root	68	larg1235	a1=ɕaɯ1	a 1 =ɕ a ɯ 1	a ¹/ + tɕ a ɯ ¹/	68-1	189
948	Hmong Daw	root	68	hmon1333	ɕa6	ɕ a 6	tɕ a ⁶/	68-3	191
949	Hmong Njua	root	68	hmon1264	ɕaŋ6	ɕ a ŋ 6	tɕ a ŋ ⁶/	68-3	191
950	Bunu	root	68	buna1273	ka3=ɕɔŋ2	k a 3 =ɕ ɔ ŋ 2	k a ³/ + tɕ ɔ ŋ ²/	68-1	189
951	Baonao	root	68	buna1273	kǝ3=ɕo2	k ǝ 3 =ɕ o 2	k ǝ ³/ + tɕ o ²/	68-1	189
952	Numao	root	68	numa1251	ɕoŋ2	ɕ o ŋ 2	tɕ o ŋ ²/	68-1	189
953	Longhua Jiongnai	root	68	jion1236	ka44	k a 44	k a ⁴⁴	68-4	192
954	Liuxiang Jiongnai	root	68	jion1236	čaŋ31	č a ŋ 31	tʃ a ŋ ³¹	68-1	189
955	Xiaozhai Younuo	root	68	youn1235	fɔ33=kǝ33=ti̯aŋ13	f ɔ 33 = k ǝ 33 = t i̯ a ŋ 13	f ɔ ³³ + k ǝ ³³ + t j a ŋ ¹³	68-1	189
956	Huangluo Younuo	root	68	youn1235	fɔ33=tǝ33=ti̯aŋ13	f ɔ 33 = t ǝ 33 = t i̯ a ŋ 13	f ɔ ³³ + t ǝ ³³ + t j a ŋ ¹³	68-1	189
957	Northern Pa-Hng	root	68	pahn1237	koŋ33-ti̯a35	k o ŋ 33 - t i̯ a 35	k o ŋ ³³ + t j a ³⁵	68-1	189
958	Southern Pa-Hng	root	68	pahn1237	qɔ̃33-pi̯a35	q ɔ̃ 33 - p i̯ a 35	q ɔ̃ ³³ + p j a ³⁵	68-1	189
959	Hm-Nai	root	68	wuna1248	kuŋ33-ca35	k u ŋ 33 - c a 35	k u ŋ ³³ + ts a ³⁵	68-1	189
960	Western Xiangxi	round	69	nort2748	ʑɛ̃4	ʑ ɛ̃ 4	ʑ ɛ̃ ⁴/	69-1	193
961	Qiandong	round	69	east2369	ɬen2	ɬ e n 2	ɬ e n ²/	69-2	194
962	Chuanqiandian	round	69	nort3244	kʰun2	kʰ u n 2	kʰ u n ²/	69-3	195
963	Diandongbei	round	69	larg1235	qo3=lo8	q o 3 = l o 8	q o ³/ + l o ⁸/	69-4	196
964	Hmong Daw	round	69	hmon1333	kʰɤ̃2	kʰ ɤ̃ 2	kʰ ɤ̃ ²/	69-3	195
965	Hmong Njua	round	69	hmon1264	qʰeŋ5 ~ kʰeŋ5	kʰ e ŋ 5	kʰ e ŋ ⁵/	69-3	195
966	Bunu	round	69	buna1273	θu6=luŋ1	θ u 6 = l u ŋ 1	θ u ⁶/ + l u ŋ ¹/	69-5	197
967	Baonao	round	69	buna1273	tɒ2	t ɒ 2	t ɒ ²/	69-6	198
968	Numao	round	69	numa1251	pu2	p u 2	p u ²/	69-7	199
969	Longhua Jiongnai	round	69	jion1236	klwey33	k lw e y 33	k l w e j ³³	69-8	200
970	Liuxiang Jiongnai	round	69	jion1236	klwey31	k lw e y 31	k l w e j ³¹	69-8	200
971	Xiaozhai Younuo	round	69	youn1235	lun33	l u n 33	l u n ³³	69-9	201
972	Huangluo Younuo	round	69	youn1235	lun33	l u n 33	l u n ³³	69-9	201
973	Northern Pa-Hng	round	69	pahn1237	qa33=laŋ33	q a 33 = l a ŋ 33	q a ³³ + l a ŋ ³³	69-9	201
974	Southern Pa-Hng	round	69	pahn1237	qɔ̃35=lɦɔ̃31	q ɔ̃ 35 = lɦ ɔ̃ 31	q ɔ̃ ³⁵ + lʱ ɔ̃ ³¹	69-9	201
975	Hm-Nai	round	69	wuna1248	lai35	l a i 35	l a i ³⁵	69-9	201
1461	Western Xiangxi	salt	104	nort2748	ɲɕɯ3	ɲɕ ɯ 3	ɲ tɕ ɯ ³/	104-1	14
1462	Eastern Xiangxi	salt	104	east2371	ʒʋ55	ʒ ʋ 55	dz ʋ ⁵⁵	104-1	14
1463	Qiandong	salt	104	east2369	ʃi3	ʃ i 3	ɕ i ³/	104-1	14
1464	Chuanqiandian	salt	104	nort3244	nen3=ɳc̢e3	n e n 3 = ɳ c̢ e 3	n e n ³/ + ɳ tʂ e ³/	104-1	14
1465	Diandongbei	salt	104	larg1235	ɳc̢ǝ3	ɳ c̢ ǝ 3	ɳ tʂ ǝ ³/	104-1	14
1466	Hmong Daw	salt	104	hmon1333	nǯe3	n ǯ e 3	n dʒ e ³/	104-1	14
1467	Hmong Njua	salt	104	hmon1264	ɲǯe2	ɲ ǯ e 2	ɲ dʒ e ²/	104-1	14
1468	Bunu	salt	104	buna1273	nce3	n c e 3	n ts e ³/	104-1	14
1469	Baonao	salt	104	buna1273	ncey3	n c e y 3	n ts e j ³/	104-1	14
1470	Numao	salt	104	numa1251	nci̯ey3	n c i̯ e y 3	n ts j e j ³/	104-1	14
1471	Longhua Jiongnai	salt	104	jion1236	nča53	n č a 53	n tʃ a ⁵³	104-1	14
1472	Liuxiang Jiongnai	salt	104	jion1236	ntθa35	n t θ a 35	n t θ a ³⁵	104-1	14
1473	Xiaozhai Younuo	salt	104	youn1235	ʑau22	ʑ au 22	ʑ a u ²²	104-1	14
1474	Huangluo Younuo	salt	104	youn1235	ʑau22	ʑ au 22	ʑ a u ²²	104-1	14
1475	Northern Pa-Hng	salt	104	pahn1237	ɲo22	ɲ o 22	ɲ o ²²	104-1	14
1476	Southern Pa-Hng	salt	104	pahn1237	ɲɕo31	ɲɕ o 31	ɲ tɕ o ³¹	104-1	14
1477	Hm-Nai	salt	104	wuna1248	ɲɕo13	ɲɕ o 13	ɲ tɕ o ¹³	104-1	14
976	Western Xiangxi	sand	70	nort2748	qo1=cʰä5	q o 1 = cʰ ä 5	q o ¹/ + tsʰ æ ⁵/	70-1	204
977	Western Xiangxi	say	71	nort2748	pʰu3	pʰ u 3	pʰ u ³/	71-1	205
978	Eastern Xiangxi	say	71	east2371	ɕʰe35	ɕʰ e 35	tɕʰ e ³⁵	71-2	206
979	Qiandong	say	71	east2369	ho5	h o 5	h o ⁵/	71-2	206
980	Chuanqiandian	say	71	nort3244	hay7	h a y 7	h a j ⁷/	71-2	206
981	Diandongbei	say	71	larg1235	hi7	h i 7	h i ⁷/	71-2	206
982	Hmong Daw	say	71	hmon1333	hay5	h a y 5	h a j ⁵/	71-2	206
983	Hmong Njua	say	71	hmon1264	ha4	h a 4	h a ⁴/	71-2	206
984	Bunu	say	71	buna1273	tɯ2	t ɯ 2	t ɯ ²/	71-3	207
985	Baonao	say	71	buna1273	ɕi4	ɕ i 4	tɕ i ⁴/	71-4	208
986	Numao	say	71	numa1251	ɕou6	ɕ o u 6	tɕ o u ⁶/	71-5	209
987	Longhua Jiongnai	say	71	jion1236	čɔuŋ22	č ɔ u ŋ 22	tʃ ɔ u ŋ ²²	71-5	209
988	Liuxiang Jiongnai	say	71	jion1236	čaŋ21	č a ŋ 21	tʃ a ŋ ²¹	71-5	209
989	Northern Pa-Hng	say	71	pahn1237	kaŋ22	k a ŋ 22	k a ŋ ²²	71-6	210
990	Southern Pa-Hng	say	71	pahn1237	kɔ̃31	k ɔ̃ 31	k ɔ̃ ³¹	71-6	210
991	Hm-Nai	say	71	wuna1248	kuŋ13	k u ŋ 13	k u ŋ ¹³	71-6	210
992	Western Xiangxi	see	72	nort2748	qɛ̃6	q ɛ̃ 6	q ɛ̃ ⁶/	72-1	211
993	Eastern Xiangxi	see	72	east2371	ʆaŋ31=ca55	ʆ a ŋ 31 = c a 55	ɕ a ŋ ³¹ + ts a ⁵⁵	72-4	214
994	Qiandong	see	72	east2369	poŋ8	p o ŋ 8	p o ŋ ⁸/	72-2	212
995	Chuanqiandian	see	72	nort3244	po8	p o 8	p o ⁸/	72-2	212
996	Diandongbei	see	72	larg1235	po8	p o 8	p o ⁸/	72-2	212
997	Hmong Daw	see	72	hmon1333	pɔ7	p ɔ 7	p ɔ ⁷/	72-2	212
998	Hmong Njua	see	72	hmon1264	pu7	p u 7	p u ⁷/	72-2	212
999	Bunu	see	72	buna1273	pɔ8	p ɔ 8	p ɔ ⁸/	72-2	212
1000	Baonao	see	72	buna1273	puɔ8	p u ɔ 8	p u ɔ ⁸/	72-2	212
1001	Numao	see	72	numa1251	pǝu8	p ǝ u 8	p ǝ u ⁸/	72-2	212
1002	Longhua Jiongnai	see	72	jion1236	leŋ35=pu32	l e ŋ 35 = p u 32	l e ŋ ³⁵ + p u ³²	72-2	212
1003	Liuxiang Jiongnai	see	72	jion1236	leŋ22=pu32	l e ŋ 22 = p u 32	l e ŋ ²² + p u ³²	72-2	212
1004	Xiaozhai Younuo	see	72	youn1235	maŋ35=cʰu22	m a ŋ 35 = cʰ u 22	m a ŋ ³⁵ + tsʰ u ²²	72-3	213
1005	Huangluo Younuo	see	72	youn1235	maŋ53=cʰo22	m a ŋ 53 = cʰ o 22	m a ŋ ⁵³ + tsʰ o ²²	72-3	213
1006	Northern Pa-Hng	see	72	pahn1237	pa31	p a 31	p a ³¹	72-2	212
1007	Southern Pa-Hng	see	72	pahn1237	pɦa31	pɦ a 31	pʰ a ³¹	72-2	212
1008	Hm-Nai	see	72	wuna1248	pʰa31	pʰ a 31	pʰ a ³¹	72-2	212
1009	Xiaozhai Younuo	see	72	youn1235	tǝ33=pu31	t ǝ 33 = p u 31	t ǝ ³³ + p u ³¹	72-2	212
1010	Western Xiangxi	seed	73	nort2748	qo1=ɳu1	q o 1 = ɳ u 1	q o ¹/ + ɳ u ¹/	73-1	215
1011	Eastern Xiangxi	seed	73	east2371	ɲɯ53	ɲ ɯ 53	ɲ ɯ ⁵³	73-1	215
1012	Qiandong	seed	73	east2369	n̥ʰiu1	n̥ʰ i u 1	n̥ʰ i u ¹/	73-1	215
1478	Western Xiangxi	short	105	nort2748	le3	l e 3	l e ³/	105-1	15
1479	Eastern Xiangxi	short	105	east2371	li55	l i 55	l i ⁵⁵	105-1	15
1480	Qiandong	short	105	east2369	lɛ3	l ɛ 3	l ɛ ³/	105-1	15
1481	Chuanqiandian	short	105	nort3244	lo5	l o 5	l o ⁵/	105-1	15
1482	Diandongbei	short	105	larg1235	lu8	l u 8	l u ⁸/	105-1	15
1483	Hmong Daw	short	105	hmon1333	lu3	l u 3	l u ³/	105-1	15
1484	Hmong Njua	short	105	hmon1264	lu3	l u 3	l u ³/	105-1	15
1013	Western Xiangxi	sit	74	nort2748	ɕoŋ5	ɕ o ŋ 5	tɕ o ŋ ⁵/	74-1	216
1014	Eastern Xiangxi	sit	74	east2371	tʰɛ55-pya35	tʰ ɛ 55 - p y a 35	tʰ ɛ ⁵⁵ + p j a ³⁵	74-5	220
1015	Qiandong	sit	74	east2369	niaŋ1	n i a ŋ 1	n i a ŋ ¹/	74-2	217
1016	Chuanqiandian	sit	74	nort3244	ɲao1	ɲ a o 1	ɲ a o ¹/	74-2	217
1017	Diandongbei	sit	74	larg1235	nio1	n i o 1	n i o ¹/	74-2	217
1018	Hmong Daw	sit	74	hmon1333	žɔw7	ž ɔ w 7	ʒ ɔ w ⁷/	74-3	218
1019	Hmong Njua	sit	74	hmon1264	ɲao3	ɲ a o 3	ɲ a o ³/	74-2	217
1020	Bunu	sit	74	buna1273	ɲi1	ɲ i 1	ɲ i ¹/	74-2	217
1021	Baonao	sit	74	buna1273	ɲa1	ɲ a 1	ɲ a ¹/	74-2	217
1022	Numao	sit	74	numa1251	ɲe1	ɲ e 1	ɲ e ¹/	74-2	217
1023	Longhua Jiongnai	sit	74	jion1236	ɲaŋ44	ɲ a ŋ 44	ɲ a ŋ ⁴⁴	74-2	217
1024	Liuxiang Jiongnai	sit	74	jion1236	ɲaŋ44	ɲ a ŋ 44	ɲ a ŋ ⁴⁴	74-2	217
1025	Xiaozhai Younuo	sit	74	youn1235	ti̯aŋ35	t i̯ a ŋ 35	t j a ŋ ³⁵	74-4	219
1026	Huangluo Younuo	sit	74	youn1235	ti̯aŋ53	t i̯ a ŋ 53	t j a ŋ ⁵³	74-4	219
1027	Northern Pa-Hng	sit	74	pahn1237	ɲoŋ35	ɲ o ŋ 35	ɲ o ŋ ³⁵	74-2	217
1028	Southern Pa-Hng	sit	74	pahn1237	ɲõ35	ɲ õ 35	ɲ õ ³⁵	74-2	217
1029	Hm-Nai	sit	74	wuna1248	ɲɕo31	ɲɕ o 31	ɲ tɕ o ³¹	74-2	217
1030	Western Xiangxi	skin	75	nort2748	qo1=ki̯ɔ5	q o 1 = k i̯ ɔ 5	q o ¹/ + k j ɔ ⁵/	75-1	221
1031	Eastern Xiangxi	skin	75	east2371	ɕɔ31-ɕɔ31	ɕ ɔ 31 - ɕ ɔ 31	tɕ ɔ ³¹ + tɕ ɔ ³¹	75-1	221
1032	Qiandong	skin	75	east2369	tu3	t u 3	t u ³/	75-2	222
1033	Chuanqiandian	skin	75	nort3244	teu5	t e u 5	t e u ⁵/	75-2	222
1034	Diandongbei	skin	75	larg1235	pi5=toey3	p i 5 = t o e y 3	p i ⁵/ + t o e j ³/	75-2	222
1035	Hmong Daw	skin	75	hmon1333	tǝw3	t ǝ w 3	t ǝ w ³/	75-2	222
1036	Hmong Njua	skin	75	hmon1264	taʉ2	t a ʉ 2	t a ʉ ²/	75-2	222
1037	Bunu	skin	75	buna1273	ka3=ƛau5	k a 3 = ƛ au 5	k a ³/ + tɬ a u ⁵/	75-3	223
1038	Baonao	skin	75	buna1273	kǝ3=ƛaǝ5	k ǝ 3 = ƛ a ǝ 5	k ǝ ³/ + tɬ a ǝ ⁵/	75-3	223
1039	Numao	skin	75	numa1251	ƛü5	ƛ ü 5	tɬ y ⁵/	75-3	223
1040	Longhua Jiongnai	skin	75	jion1236	ki̯eu35	k i̯ e u 35	k j e u ³⁵	75-1	221
1041	Liuxiang Jiongnai	skin	75	jion1236	ki̯eu22	k i̯ e u 22	k j e u ²²	75-1	221
1042	Xiaozhai Younuo	skin	75	youn1235	ku35	k u 35	k u ³⁵	75-1	221
1043	Huangluo Younuo	skin	75	youn1235	ku53	k u 53	k u ⁵³	75-1	221
1044	Northern Pa-Hng	skin	75	pahn1237	qa22=li̯u55	q a 22 = l i̯ u 55	q a ²² + l j u ⁵⁵	75-4	224
1045	Southern Pa-Hng	skin	75	pahn1237	qa31=li̯ʉ55	q a 31 = l i̯ ʉ 55	q a ³¹ + l j ʉ ⁵⁵	75-4	224
1046	Hm-Nai	skin	75	wuna1248	qʰau35	qʰ au 35	qʰ a u ³⁵	75-5	225
1047	Western Xiangxi	sleep	76	nort2748	pɤ5=nqu̯e1	p ɤ 5 = n q u̯ e 1	p ɤ ⁵/ + n q w e ¹/	76-1	226
1048	Eastern Xiangxi	sleep	76	east2371	pa31 #	p a 31	p a ³¹	76-2	227
1049	Qiandong	sleep	76	east2369	pi5	p i 5	p i ⁵/	76-2	227
1050	Chuanqiandian	sleep	76	nort3244	pu5	p u 5	p u ⁵/	76-2	227
1051	Diandongbei	sleep	76	larg1235	pu5	p u 5	p u ⁵/	76-2	227
1052	Hmong Daw	sleep	76	hmon1333	ndu1	n d u 1	n d u ¹/	76-3	228
1053	Hmong Njua	sleep	76	hmon1264	čau6-žu6	č au 6 - ž u 6	tʃ a u ⁶/ + ʒ u ⁶/	76-4	229
1054	Bunu	sleep	76	buna1273	pau5	p au 5	p a u ⁵/	76-2	227
1055	Baonao	sleep	76	buna1273	paǝ5	p a ǝ 5	p a ǝ ⁵/	76-2	227
1056	Numao	sleep	76	numa1251	puey5	p u e y 5	p u e j ⁵/	76-2	227
1057	Longhua Jiongnai	sleep	76	jion1236	pau35	p au 35	p a u ³⁵	76-2	227
1058	Liuxiang Jiongnai	sleep	76	jion1236	pɔ22	p ɔ 22	p ɔ ²²	76-2	227
1059	Xiaozhai Younuo	sleep	76	youn1235	puy35	p u y 35	p u j ³⁵	76-2	227
1060	Huangluo Younuo	sleep	76	youn1235	puy53	p u y 53	p u j ⁵³	76-2	227
1061	Northern Pa-Hng	sleep	76	pahn1237	vaŋ35	v a ŋ 35	v a ŋ ³⁵	76-5	230
1062	Southern Pa-Hng	sleep	76	pahn1237	pɤ55	p ɤ 55	p ɤ ⁵⁵	76-2	227
1063	Hm-Nai	sleep	76	wuna1248	pei55	p e i 55	p e i ⁵⁵	76-2	227
1064	Western Xiangxi	small	77	nort2748	ʆu1	ʆ u 1	ɕ u ¹/	77-1	231
1065	Eastern Xiangxi	small	77	east2371	ɲa35	ɲ a 35	ɲ a ³⁵	77-6	236
1066	Qiandong	small	77	east2369	ʑu5	ʑ u 5	ʑ u ⁵/	77-1	231
1067	Chuanqiandian	small	77	nort3244	ʑǝu5	ʑ ǝ u 5	ʑ ǝ u ⁵/	77-1	231
1068	Diandongbei	small	77	larg1235	ʂao1	ʂ a o 1	ʂ a o ¹/	77-2	232
1069	Hmong Daw	small	77	hmon1333	me4	m e 4	m e ⁴/	77-3	233
1070	Hmong Njua	small	77	hmon1264	mi2	m i 2	m i ²/	77-3	233
1071	Bunu	small	77	buna1273	vi3	v i 3	v i ³/	77-3	233
1072	Baonao	small	77	buna1273	yau5	y au 5	j a u ⁵/	77-1	231
1073	Numao	small	77	numa1251	yǝŋ3	y ǝ ŋ 3	j ǝ ŋ ³/	77-4	234
1074	Longhua Jiongnai	small	77	jion1236	ʑu35	ʑ u 35	ʑ u ³⁵	77-1	231
1075	Liuxiang Jiongnai	small	77	jion1236	ʑu22	ʑ u 22	ʑ u ²²	77-1	231
1076	Xiaozhai Younuo	small	77	youn1235	l̥e53	l̥ e 53	l̥ e ⁵³	77-5	235
1077	Huangluo Younuo	small	77	youn1235	l̥e53	l̥ e 53	l̥ e ⁵³	77-5	235
1078	Northern Pa-Hng	small	77	pahn1237	yu55	y u 55	j u ⁵⁵	77-1	231
1079	Southern Pa-Hng	small	77	pahn1237	yʉ55	y ʉ 55	j ʉ ⁵⁵	77-1	231
1080	Hm-Nai	small	77	wuna1248	yu55	y u 55	j u ⁵⁵	77-1	231
1081	Hmong Njua	small	77	hmon1264	yau3 ~ yau6	y au 6	j a u ⁶/	77-1	231
1082	Western Xiangxi	smoke	78	nort2748	qo1=ɲɕʰo5	q o 1 = ɲɕʰ o 5	q o ¹/ + ɲ tɕʰ o ⁵/	78-1	237
1083	Eastern Xiangxi	smoke	78	east2371	ɕɔ35-kʰa55	ɕ ɔ 35 - kʰ a 55	tɕ ɔ ³⁵ + kʰ a ⁵⁵	78-1	237
1084	Qiandong	smoke	78	east2369	ǝu1=i1	ǝ u 1 = i 1	ǝ u ¹/ + i ¹/	78-2	238
1085	Chuanqiandian	smoke	78	nort3244	paŋ5=nɕʰo5	p a ŋ 5 = nɕʰ o 5	p a ŋ ⁵/ + n tɕʰ o ⁵/	78-1	237
1086	Diandongbei	smoke	78	larg1235	paɯ5=nɕʰo5	p a ɯ 5 = nɕʰ o 5	p a ɯ ⁵/ + n tɕʰ o ⁵/	78-1	237
1087	Hmong Daw	smoke	78	hmon1333	ɲɕʰɔ4 #	ɲɕʰ ɔ 4	ɲ tɕʰ ɔ ⁴/	78-1	237
1088	Hmong Njua	smoke	78	hmon1264	paŋ3-taʉ6	p a ŋ 3 - t a ʉ 6	p a ŋ ³/ + t a ʉ ⁶/	78-3	239
1089	Bunu	smoke	78	buna1273	ka3=pɔŋ5-to4	k a 3 = p ɔ ŋ 5 - t o 4	k a ³/ + p ɔ ŋ ⁵/ + t o ⁴/	78-3	239
1090	Baonao	smoke	78	buna1273	pɒ5-tiu4	p ɒ 5 - t i u 4	p ɒ ⁵/ + t i u ⁴/	78-3	239
1091	Longhua Jiongnai	smoke	78	jion1236	tau31=ɔ43	t au 31 = ɔ 43	t a u ³¹ + ɔ ⁴³	78-4	240
1092	Liuxiang Jiongnai	smoke	78	jion1236	tɔ53=nǝu22	t ɔ 53 = n ǝ u 22	t ɔ ⁵³ + n ǝ u ²²	78-5	241
1093	Xiaozhai Younuo	smoke	78	youn1235	to22=ʑin33	t o 22 =ʑ i n 33	t o ²² → ʑ i n ³³	78-6	242
1094	Huangluo Younuo	smoke	78	youn1235	ʑin33	ʑ i n 33	ʑ i n ³³	78-6	242
1095	Northern Pa-Hng	smoke	78	pahn1237	qa22=u35	q a 22 = u 35	q a ²² + u ³⁵	78-4	240
1096	Southern Pa-Hng	smoke	78	pahn1237	qa31=ʉ35	q a 31 = ʉ 35	q a ³¹ + ʉ ³⁵	78-4	240
1097	Hm-Nai	smoke	78	wuna1248	u35-tou22	u 35 - t o u 22	u ³⁵ + t o u ²²	78-4	240
1485	Western Xiangxi	snake	106	nort2748	ta1=nen1	t a 1 = n e n 1	t a ¹/ + n e n ¹/	106-1	16
1486	Eastern Xiangxi	snake	106	east2371	nɛ53	n ɛ 53	n ɛ ⁵³	106-1	16
